Segmento;Tráfico;Movimiento;TipoVuelo;Origen;Destino;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1;1;1;1;Ámsterdam;Quito;44574;3844;3458;3578;3152;3622;3893;4531;4056;3541;3654;3733;3512
1;1;1;1;Atlanta;Quito;72089;5016;5310;6121;5431;6267;11068;6101;5918;4956;4932;5226;5743
1;1;1;1;Bogotá;Quito;287388;20693;19124;21756;21395;22010;24228;25933;28618;26544;24970;25445;26672
1;1;1;1;Buenos Aires;Quito;22774;1922;1517;1649;2207;1642;1534;1552;1962;2272;2035;1657;2825
1;1;1;1;Cancún;Quito;499;499;0;0;0;0;0;0;0;0;0;0;0
1;1;1;1;El Salvador;Quito;21010;1074;693;787;1276;1429;1979;3002;4037;1996;1518;1042;2177
1;1;1;1;Fort Lauderdale;Quito;19139;2860;3442;3704;3560;3982;1591;0;0;0;0;0;0
1;1;1;1;Houston;Quito;48610;3800;3602;5095;3803;4560;0;4454;4741;4546;4692;4565;4752
1;1;1;1;Lima;Quito;136154;9706;8199;9312;10397;11102;11194;12928;12849;11351;12561;12465;14090
1;1;1;1;Madrid;Quito;136844;11370;9034;10432;10545;10752;11761;12830;12556;11174;12768;11661;11961
1;1;1;1;Medellín;Quito;22775;1834;1671;1582;1536;1776;1234;1813;2954;2081;1501;2094;2699
1;1;1;1;México;Quito;11943;2509;1932;2151;1873;1741;1737;0;0;0;0;0;0
1;1;1;1;Miami;Quito;146109;12308;13498;13802;13436;13668;12276;13484;14034;9173;9683;9264;11483
1;1;1;1;New York;Quito;41171;2981;2789;2943;3996;3550;3608;3831;3875;3516;2760;3401;3921
1;1;1;1;Orlando;Quito;9938;1132;954;1048;961;1311;1065;1201;1051;786;429;0;0
1;1;1;1;Panamá;Quito;216077;11913;13459;18298;18545;18211;17710;19444;21792;20060;18918;18872;18855
1;1;1;1;Punta Cana (Rep. Dominicana);Quito;3680;0;0;0;0;0;0;0;0;0;145;1560;1975
1;1;1;1;San José;Quito;11965;1360;874;877;769;691;889;1036;1094;1448;1042;911;974
1;1;1;1;Santo Domingo (Rep. Dominicana);Quito;6986;632;535;479;607;683;716;919;1047;857;511;0;0
1;1;2;1;Quito;Ámsterdam;36539;3745;2600;2877;2821;3465;3236;3548;3477;3052;2915;2306;2497
1;1;2;1;Quito;Atlanta;71029;6013;5576;6640;6223;6457;6482;6621;6120;5136;4940;5429;5392
1;1;2;1;Quito;Bogotá;273773;19354;22612;24656;20679;20066;17618;27937;28848;25970;23690;21385;20958
1;1;2;1;Quito;Buenos Aires;20047;1615;1650;1901;1733;1162;1166;1330;1880;2096;2281;1648;1585
1;1;2;1;Quito;Cancún;503;503;0;0;0;0;0;0;0;0;0;0;0
1;1;2;1;Quito;El Salvador;40732;2953;1916;2201;4504;4622;3880;4924;4829;3010;3247;1754;2892
1;1;2;1;Quito;Fort Lauderdale;21217;3453;3563;4324;3943;4297;1637;0;0;0;0;0;0
1;1;2;1;Quito;Houston;55643;4679;4466;4741;4404;4721;4738;4245;5076;4841;4608;4628;4496
1;1;2;1;Quito;Lima;105208;7072;6938;8941;7603;7744;7478;10334;11178;10032;10174;9599;8115
1;1;2;1;Quito;Madrid;139197;11202;10210;12887;12387;12412;10911;11850;12703;11936;12265;10136;10298
1;1;2;1;Quito;Medellín;20830;1728;1529;1618;1289;1158;968;2287;2632;1825;1770;1690;2336
1;1;2;1;Quito;México;13141;3420;2215;2114;1937;1725;1730;0;0;0;0;0;0
1;1;2;1;Quito;Miami;142850;12922;12214;13930;12374;12797;11498;13677;14239;9226;9702;9438;10833
1;1;2;1;Quito;New York;42739;3100;2805;3615;3999;4175;3427;3714;4472;3852;2634;2985;3961
1;1;2;1;Quito;Orlando;9469;1102;912;1088;898;1005;935;1176;1131;816;406;0;0
1;1;2;1;Quito;Panamá;213966;11755;15703;19968;17544;17846;16274;20180;22731;19373;19212;17076;16304
1;1;2;1;Quito;Punta Cana (Rep. Dominicana);2879;0;0;0;0;0;0;0;0;0;324;1163;1392
1;1;2;1;Quito;San José;16807;1474;1912;2060;1610;1747;1342;1212;1356;1270;1070;950;804
